đây là bài tập mới,đây là bài_tập mới
đây là một trong những bài tập khó,đây là một trong những bài_tập khó
nó đang làm bài tập,nó đang làm bài_tập
bài tập toán này dễ,bài_tập toán này dễ
cô ấy đang tập bài này,cô ấy đang tập bài này
chồng tập thật dày,chồng tập thật dày
hắn đang chồng đống bài tập,hắn đang chồng đống bài_tập
chồng cô ấy đang tập xếp tập,chồng cô ấy đang tập xếp tập
bài tập xếp tập rất khó,bài_tập xếp tập rất khó
nó đang học bài này,nó đang học bài này
một bài học cách dùng kéo,một bài_học cách dùng kéo
cây kéo này sắc lắm,cây kéo này sắc lắm
bọn trẻ đang kéo nhau,bọn trẻ đang kéo nhau
cái bàn này vững lắm,cái bàn này vững lắm
mọi người đang bàn với nhau,mọi người đang bàn với nhau
cái bàn với cái kéo,cái bàn với cái kéo
tôi đang với lấy cái kéo,tôi đang với lấy cái kéo
kéo dùng cắt giấy,kéo dùng cắt giấy
bọn trẻ đang bàn cách dùng kéo,bọn trẻ đang bàn cách dùng kéo
nó đang kéo cái bàn,nó đang kéo cái bàn
đây là bài tập cách dùng kéo,đây là bài_tập cách dùng kéo
anh ấy đang tập cách kéo bàn,anh ấy đang tập cách kéo bàn
một cây quạt lớn,một cây quạt lớn
đừng quạt nhanh quá,đừng quạt nhanh quá
nó đang tập quạt,nó đang tập quạt
cô ấy tập cách quạt,cô ấy tập cách quạt
cái quạt đặt gần bàn,cái quạt đặt gần bàn
nó với lấy cây quạt,nó với lấy cây quạt
cây quạt với cái bàn,cây quạt với cái bàn
kéo cái bàn gần cái quạt,kéo cái bàn gần cái quạt
dùng kéo cắt quạt,dùng kéo cắt quạt
quạt mạnh sẽ dễ hư quạt,quạt mạnh sẽ dễ hư quạt
bài tập cắt quạt với kéo,bài_tập cắt quạt với kéo
dùng kéo cắt tập gần bàn,dùng kéo cắt tập gần bàn
kéo cái kéo gần bàn với quạt,kéo cái kéo gần bàn với quạt
nó với cây kéo gần tập bài tập gần bàn với quạt,nó với cây kéo gần tập bài_tập gần bàn với quạt
anh ấy đang bàn với cô ấy cách kéo cái bàn,anh ấy đang bàn với cô ấy cách kéo cái bàn
đừng dùng quạt với kéo,đừng dùng quạt với kéo
tập cách học dùng kéo với quạt,tập cách học dùng kéo với quạt
bài tập kéo cái bàn gần cô ấy với anh ấy quạt cây kéo gần bàn,bài_tập kéo cái bàn gần cô ấy với anh ấy quạt cây kéo gần bàn
